"FishCode","FishDesc","Consigned","Sold","LowPrice","AvgPrice","HighPrice","MonthNum","YearNum"
"CADS","Cod | scrod","2","0","0","0","0","11","2018"
"HDDL","Haddock | large","11371","11266","1.51","1.96","2.52","11","2018"
"HDDP","Haddock | snapper","2354","2327","0","0.61","0.78","11","2018"
"HDDS","Haddock | scrod","43147","42574","0.73","1.04","1.46","11","2018"
"CADM","Cod | market","6443","4140","0","2.4","4.17","12","2018"
"CADS","Cod | scrod","8","5","0","1.13","1.13","12","2018"
"HDDL","Haddock | large","13647","13340","0","2.21","3.13","12","2018"
"HDDP","Haddock | snapper","3857","2197","0.4","0.77","1.25","12","2018"
"HDDS","Haddock | scrod","71367","65821","0","1.14","2.42","12","2018"
"CADM","Cod | market","4143","4095","0","3.93","5.77","1","2017"
"CADS","Cod | scrod","6","6","3.5","3.5","3.5","1","2017"
"HDDL","Haddock | large","6644","5694","0","2.83","4.52","1","2017"
"HDDP","Haddock | snapper","6161","6158","0","1.07","1.39","1","2017"
"HDDS","Haddock | scrod","23054","23026","0","1.99","2.84","1","2017"
"CADM","Cod | market","2476","2476","2.31","2.64","3.67","2","2017"
"CADS","Cod | scrod","9","9","1.71","1.71","1.71","2","2017"
"HDDL","Haddock | large","5480","5480","1.86","2.55","4.17","2","2017"
"HDDP","Haddock | snapper","2345","2268","0","1.19","1.48","2","2017"
"HDDS","Haddock | scrod","18690","17317","0.94","1.75","2.82","2","2017"
"CADM","Cod | market","1231","1188","0","2.83","3.57","3","2017"
"HDDL","Haddock | large","2001","2001","1.69","2.82","5.47","3","2017"
"HDDP","Haddock | snapper","1861","1861","0.65","1.32","2.3","3","2017"
"HDDS","Haddock | scrod","7132","7130","0","2.05","2.66","3","2017"
"CADM","Cod | market","18582","8414","0","2.52","4.86","4","2017"
"CADS","Cod | scrod","84","37","0","1.49","1.59","4","2017"
"HDDL","Haddock | large","3925","3925","2.18","3.62","5.27","4","2017"
"HDDP","Haddock | snapper","1952","1714","0","0.88","1.53","4","2017"
"HDDS","Haddock | scrod","11505","11286","1","1.82","2.77","4","2017"
"CADM","Cod | market","2510","2366","0","2.51","4.11","5","2017"
"HDDL","Haddock | large","3752","3724","0","2.69","3.52","5","2017"
"HDDP","Haddock | snapper","2089","2079","0","1","1.75","5","2017"
"HDDS","Haddock | scrod","15402","8583","0","2.12","2.85","5","2017"
"CADM","Cod | market","3459","3322","0","3.58","4.77","6","2017"
"CADS","Cod | scrod","9","0","0","0","0","6","2017"
"HDDL","Haddock | large","1893","1878","2.47","3.36","6.16","6","2017"
"HDDP","Haddock | snapper","1217","852","0","1.04","1.42","6","2017"
"HDDS","Haddock | scrod","10827","8411","1.5","2.17","3.52","6","2017"
"CADM","Cod | market","3069","2827","0","2.93","4.87","7","2017"
"CADS","Cod | scrod","55","52","0","2.32","2.32","7","2017"
"HDDL","Haddock | large","2544","2530","0","2.88","4.47","7","2017"
"HDDP","Haddock | snapper","1708","804","0","0.87","1.54","7","2017"
"HDDS","Haddock | scrod","16305","9905","0","1.89","2.9","7","2017"
"CADM","Cod | market","4996","3954","0","2.81","4.62","8","2017"
"CADS","Cod | scrod","18","3","0","2.29","2.29","8","2017"
"HDDL","Haddock | large","4170","4162","0","2.71","4.57","8","2017"
"HDDP","Haddock | snapper","3567","3472","0","0.83","1.3","8","2017"
"HDDS","Haddock | scrod","25556","24101","0","1.63","3","8","2017"
"CADM","Cod | market","3098","2424","0","2.68","3.02","9","2017"
